source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer argued with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer argued with the designer because his idea could not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic gave the writer a gift because she won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	Mechanic gave the writer a gift because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	False	The engine said thanks to the housekeeper for being grateful.
False	The mover said thank you to the housekeeper because he cleaned the truck.	False	The engine said thank you to the housekeeper for cleaning the truck.
False	The assistant scanned documents for the analyst because she asked.	False	Assistant checked the documentation for the analyst as she asked.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	False	Assistant checking documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The president gave the housekeeper advice because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	False	The president gave the housekeeper advice because it was useful.
False	The salesperson sold some books to the librarian because it was her job.	False	The salesman sold some books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	False	The seller sold some books to the librarian because he wanted to learn.
False	The lawyer yelled at the hairdresser because she was mad.	False	The lawyer screamed at the hairdresser because she was crazy.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	And the lawyer shouted at the hairdresser because he did a bad job.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	Cook prepared according to the teacher because she just learned a new dish.
False	The cook prepared a dish for the teacher because he is hungry.	False	The cook prepared according to the teacher because he is hungry.
False	The mover outran the hairdresser because she was in shape.	False	The engine above the hairdresser because it was in shape.
False	The mover outran the hairdresser because he did not feel good.	False	The engine above the hairdresser because it did not feel good.
False	The physician told the baker that she tried the best.	False	The doctor told the baker that she tried the best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper, because she had a lot of them.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer offered apples to the housekeeper, because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser honors the cook because she gave good tips after a haircut.
False	The hairdresser befriended the cook because he liked the food.	False	The hairdresser honors the cook because he loves food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she needed to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The director of the hairdresser said that she expects something better.
False	The manager told the hairdresser that he did a good job.	False	The hairdresser manager said that he did a good job.
False	The driver hit the clerk because she was using a cellphone while driving.	False	The driver hit the employee because she was using the mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit the writer because he was using a mobile phone while crossing the street.
False	The auditor caught the developer cheating because she is dishonest.	False	The checker caught the cheat developer because it's dishonest.
