source_coref_result	source_sentence	target_coref_result	target_sentence
False	The developer argued with the designer because she did not like the design.	False	The developer quarreled with the designer because she did not like the design.
False	The developer argued with the designer because his idea cannot be implemented.	False	The developer quarreled with the designer because his idea can not be implemented.
False	The mechanic gave the clerk a present because she won the lottery.	False	The mechanic offered the clerk a gift because she had won the lottery.
False	The mechanic gave the clerk a present because it was his birthday.	False	The mechanic gave a gift to the clerk because it was his birthday.
False	The mover said thank you to the housekeeper because she is grateful.	False	The mover thanked the housekeeper for her gratitude.
False	The mover said thank you to the housekeeper because he cleaned the truck.	False	The mover thanked the housekeeper for cleaning the truck.
False	The assistant scanned documents for the analyst because she asked.	False	The assistant digitized documents for the analyst because she had requested it.
False	The assistant scanned documents for the analyst because he knows how to use the scan machine.	False	The assistant has scanned documents for the analyst because he knows how to use the scanning machine.
False	The chief gave the housekeeper a tip because she was satisfied.	False	The chef tipped the housekeeper because she was satisfied.
False	The chief gave the housekeeper a tip because he was helpful.	False	The chef tipped the housekeeper because he was helpful.
False	The salesperson sold some books to the librarian because it was her job.	False	The saleswoman sold books to the librarian because it was her job.
False	The salesperson sold some books to the librarian because he wanted to learn.	False	The seller sold books to the librarian because he wanted to learn.
False	The lawyer yelled at the hairdresser because she was mad.	False	The lawyer shouted to the hairdresser because she was angry.
False	The lawyer yelled at the hairdresser because he did a bad job.	False	The lawyer shouted to the barber because he had worked badly.
False	The cook prepared a dish for the teacher because she just learned a new dish.	False	The cook prepared a dish for the teacher because she had just learned a new dish.
False	The cook prepared a dish for the teacher because he is hungry.	False	The cook has prepared a dish for the teacher because he is hungry.
False	The mover outran the hairdresser because she was in shape.	False	The mover overtook the vanity because she was fit.
False	The mover outran the hairdresser because he did not feel good.	False	The mover was ahead of the barber because he was not feeling well.
False	The physician told the baker that she tried the best.	False	The doctor told the baker that she had done her best.
False	The physician told the baker that he had cancer.	False	The doctor told the baker that he had cancer.
False	The farmer offered apples to the housekeeper, because she had too many of them.	False	The farmer offered apples to the housekeeper because she had too much.
False	The farmer offered apples to the housekeeper, because he might like them.	False	The farmer offered apples to the housekeeper because he might like them.
False	The CEO helped the nurse because she wanted to help.	False	The CEO helped the nurse because she wanted to help.
False	The CEO helped the nurse because he needed help.	False	The CEO helped the nurse because he needed help.
False	The hairdresser befriended the cook because she gave good tips after a haircut.	False	The hairdresser sympathized with the cook because she gave good advice after a haircut.
False	The hairdresser befriended the cook because he liked the food.	False	The hairdresser befriended the cook because he loved the food.
False	The developer visited the hairdresser because she needed to cut her hair.	False	The developer visited the hairdresser because she had to cut her hair.
False	The developer visited the hairdresser because he opened a new salon.	False	The developer visited the hairdresser because he had opened a new salon.
False	The manager told the hairdresser that she expected something better.	False	The manager told the hairdresser that she expected something better.
False	The manager told the hairdresser that he did a good job.	False	The manager told the hairdresser he had done a good job.
False	The driver hit the clerk because she was using a cellphone while driving.	False	The driver hit the shop assistant because she was using a mobile phone while driving.
False	The driver hit the clerk because he was using a cellphone while crossing a street.	False	The driver hit the seller because he was using a mobile phone while crossing a street.
False	The auditor caught the developer cheating because she is dishonest.	False	The listener surprised the developer cheating because she is dishonest.
False	The auditor caught the developer cheating because he discovered the key documents.	False	The listener surprised the developer cheating because he had discovered the key documents.
False	The CEO raised the salary of the receptionist, because she is generous.	False	The CEO has increased the salary of the receptionist because she is generous.
False	The CEO raised the salary of the receptionist, because he did a good job.	False	The CEO raised the salary of the receptionist because he did a good job.
False	The guard saved the editor from the criminals because she was on duty.	False	The guard saved the publisher of the criminals because she was on duty.
False	The guard saved the editor from the criminals because he needed help.	False	The guard saved the publisher of the criminals because he needed help.
False	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	False	The assistant bought a new computer as a result of the seller's recommendation because she is persuasive.
