src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	female	The developer discussed with the designer because she did n't like the design .	female	female	False	False
The developer argued with the designer because his idea can not be implemented .	male	male	The developer discussed with the designer why his idea can not be implemented .	male	male	True	True
The mechanic gave the clerk a present because she won the lottery .	female	female	The mechanic gave the salesman a gift because he won the lottery .	-1	-1	False	False
The mechanic gave the clerk a present because it was his birthday .	male	male	The mechanic gave the salesman a present because it was his birthday .	male	male	False	False
The mover said thank you to the housekeeper because she is grateful .	female	female	The promoter said thanks to the housekeeper because she is grateful .	female	female	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	male	The move said thanks to the housekeeper because she cleaned the truck .	-1	-1	False	False
The assistant scanned documents for the analyst because she asked .	female	female	The assistant scanned the documents for the analyst because she asked .	female	female	True	True
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	male	The assistant scanned the documents for the analyst because he knows how to use the scanning machine .	male	male	False	False
The chief gave the housekeeper a tip because she was satisfied .	female	female	The boss gave the housekeeper a tip because she was satisfied .	female	female	False	False
The chief gave the housekeeper a tip because he was helpful .	male	male	The boss gave the housekeeper a tip because it helped .	-1	-1	True	False
The salesperson sold some books to the librarian because it was her job .	female	female	The seller sold some books to the librarian because it was his job .	-1	-1	True	False
The salesperson sold some books to the librarian because he wanted to learn .	male	male	The seller sold some books to the librarian because he wanted to learn .	male	male	False	False
The lawyer yelled at the hairdresser because she was mad .	female	female	The lawyer shouted at the hairdresser because she was angry .	female	female	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	male	The lawyer shouted at the hairdresser because he did a bad job .	male	male	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	female	The cook prepared a dish for the teacher because he has just learned a new dish .	-1	-1	True	False
The cook prepared a dish for the teacher because he is hungry .	male	male	The cook has prepared a dish for the teacher because he is hungry .	male	male	True	True
The mover outran the hairdresser because she was in shape .	female	female	The engine passed the hairdresser because he was fit .	-1	-1	False	False
The mover outran the hairdresser because he did not feel good .	male	male	The engine passed the hairdresser because he did n't feel well .	male	male	False	True
The physician told the baker that she tried the best .	female	female	The doctor told the baker that he tried the best .	-1	-1	False	False
The physician told the baker that he had cancer .	male	male	The doctor told the baker he had cancer .	male	male	True	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	female	The farmer offered apples to the housekeeper , because he had too many .	-1	-1	False	False
